,Mon-Fri,Sat,Sun
FreshChoice Epsom,5.771752032073872,0.0,0.0
FreshChoice Flat Bush,7.3282187226430535,0.0,0.0
FreshChoice Glen Eden,7.274698872787306,0.0,0.0
FreshChoice Half Moon Bay,6.358229208002523,0.0,0.0
FreshChoice Mangere Bridge,5.719170873607991,0.0,0.0
FreshChoice Otahuhu,7.0408161257358195,0.0,0.0
FreshChoice Palomino,6.211177185169901,0.0,0.0
FreshChoice Papakura,7.411957523633023,0.0,0.0
FreshChoice Ranui,5.823837559934069,0.0,0.0
FreshChoice Titirangi,7.375119219496087,0.0,0.0
Metro Albert Street,6.078404420876451,0.0,0.0
Metro Halsey Street,6.614921704107683,0.0,0.0
Metro Herne Bay,6.591892116502041,0.0,0.0
SuperValue Avondale,5.386086192071813,0.0,0.0
Woolworths Airport,12.912435409458068,7.6281277591147445,0.0
Woolworths Auckland City,10.955296123576177,7.994041122946064,0.0
Woolworths Auckland Victoria Street West,10.565358021544274,6.994041122946064,0.0
Woolworths Birkenhead,10.678756310411988,8.57429602027428,0.0
Woolworths Blockhouse Bay,11.100810893068129,6.3203021727174855,0.0
Woolworths Botany Downs,10.824209227632972,6.024211092288626,0.0
Woolworths Browns Bay,10.905250060291596,7.955,0.0
Woolworths Glenfield,9.951558760575477,7.942191638672117,0.0
Woolworths Greenlane,11.051117888979569,8.435149059247246,0.0
Woolworths Greville Road,11.78174541289813,7.942191638672117,0.0
Woolworths Grey Lynn,11.98915365773297,7.876471653477767,0.0
Woolworths Hauraki Corner,11.261935047015298,6.658033430000506,0.0
Woolworths Henderson,12.69785447056252,8.081700016508089,0.0
Woolworths Highland Park,10.575394132866352,5.0999722219364365,0.0
Woolworths Hobsonville,9.739129493527319,7.024211092288626,0.0
Woolworths Howick,11.851715631336376,8.158033430000506,0.0
Woolworths Lincoln Road,11.406045209282258,6.994041122946064,0.0
Woolworths Lynnmall,11.136021270049419,7.199944443872873,0.0
Woolworths Mairangi Bay,11.126405359003883,6.151260179108093,0.0
Woolworths Mangere East,10.107948376951144,7.453780537324281,0.0
Woolworths Mangere Mall,10.3820446911512,6.314063879557372,0.0
Woolworths Manukau,11.343455541759683,5.865,0.0
Woolworths Manukau Mall,11.304982078939323,6.5999722219364365,0.0
Woolworths Manurewa,11.406045209282258,7.942191638672117,0.0
Woolworths Meadowbank,11.87583865761071,7.158033430000506,0.0
Woolworths Meadowlands,12.65381526592537,7.91,0.0
Woolworths Milford,10.397648260499107,4.955,0.0
Woolworths Mt Eden,10.872951080066315,5.955,0.0
Woolworths Mt Roskill,9.861176686457776,5.91,0.0
Woolworths Mt Wellington,11.359371808901406,6.024211092288626,0.0
Woolworths Newmarket,11.50551679058726,7.658033430000506,0.0
Woolworths Northcote,10.576461491229319,6.6567894660604505,0.0
Woolworths Northwest,9.953199312314068,6.57429602027428,0.0
Woolworths Onehunga,10.905250060291596,7.57429602027428,0.0
Woolworths Pakuranga,12.26550657128294,9.081700016508089,0.0
Woolworths Papakura,10.984606562863814,7.256255518229489,0.0
Woolworths Papatoetoe,10.815294698779569,7.302520358216187,0.0
Woolworths Ponsonby,10.88045284490342,6.314063879557372,0.0
Woolworths Pt Chevalier,11.908577611787749,7.942191638672117,0.0
Woolworths Roselands,10.789008560006158,5.865,0.0
Woolworths St Johns,11.027942962924753,7.024211092288626,0.0
Woolworths St Lukes,11.815294698779569,7.57429602027428,0.0
Woolworths Sunnynook,10.642194717848422,8.376471653477767,0.0
Woolworths Takanini,10.678884478953456,6.9190869225261284,0.0
Woolworths Takapuna,11.716839684706322,6.865,0.0
Woolworths Te Atatu North,11.068949675858622,6.865,0.0
Woolworths Te Atatu South,11.40613957323122,8.883868154951742,0.0
Woolworths Three Kings,10.159381274826092,8.458237451943983,0.0
Woolworths Waiata Shores,12.101268929641378,5.6281277591147445,0.0
Woolworths Westgate,10.560524611436087,5.3203021727174855,0.0
